"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NZSNC8BH","journalArticle","2023","Hort, Max; Moussa, Rebecca; Sarro, Federica; Hort, Max; Moussa, Rebecca; Sarro, Federica","Multi-objective search for gender-fair and semantically correct word embeddings","","","","10.1016/J.ASOC.2022.109916","","","2023","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACDSIRMI","journalArticle","2016","Sarro, Federica; Petrozziello, Alessio; Harman, M.","Multi-objective Software Effort Estimation","2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE)","","","10.1145/2884781.2884830","","","2016","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RGDGKYY4","journalArticle","2022","Ardiansyah, A.; Ferdiana, R.; Permanasari, A. E.","Optimizing complexity weight parameter of use case points estimation using particle swarm optimization","International Journal of Advances in Intelligent Informatics","","","10.26555/IJAIN.V8I2.811","","","2022","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H94SZE7W","journalArticle","2021","Chouchen, Moataz; Olongo, Jefferson; Ouni, Ali; Mkaouer, Mohamed Wiem","Predicting Code Review Completion Time in Modern Code Review","arXiv.org","","","10.26226/MORRESSIER.613B5419842293C031B5B63C","","","2021","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LVZHT78E","journalArticle","2012","Sarro, Federica; Ferrucci, F.; Gravino, C.","Single and Multi Objective Genetic Programming for software development effort estimation","SAC '12","","","10.1145/2245276.2231968","","","2012","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNWE7YYH","journalArticle","2002","Boehm, Barry","Software engineering economics","","","","","","","2002","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZSSBK86","journalArticle","1986","Conte, S. D.; Dunsmore, H. E.; Shen, V. Y.","Software engineering metrics and models","","","","","","","1986","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JAVR2MW","journalArticle","2020","Batarseh, Feras A.; Mohod, Rasika; Kumar, Abhinav; Bui, Justin C.","The application of artificial intelligence in software engineering: a review challenging conventional wisdom","arXiv: Software Engineering","","","10.1016/B978-0-12-818366-3.00010-1","","","2020","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WP8UUKI4","journalArticle","2013","Corazza, Anna; Martino, S. Di; Ferrucci, Filomena; Gravino, Carmine; Sarro, Federica; Mendes, Emilia","Using tabu search to configure support vector regression for effort estimation","Empirical Software Engineering","","","10.1007/S10664-011-9187-3","","","2013","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z39VILM6","journalArticle","2009","Ferrucci, Filomena; Gravino, Carmine; Oliveto, Rocco; Sarro, Federica","Using Tabu Search to Estimate Software Development Effort","Lecture Notes in Computer Science","","","10.1007/978-3-642-05415-0_22","","","2009","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4UPX4UN4","journalArticle","2001","Kitchenham, B.; Pickard, L.; MacDonell, Stephen G.; Shepperd, M.","What accuracy statistics really measure","IEE Proceedings - Software","","","10.1049/IP-SEN:20010506","","","2001","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
